dataset,method,bestC,bestLambda,bestK,objective_value,Betas,runtime
iris,soc1,10.0,0.01,1,0.49915644827185784,"0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",4.512138843536377
iris,soc2random,10.0,0.01,1,1.0426398342834293,"0.6282, 0.0, 0.0, 0.0, 0.3718, 0.0, 0.0, 0.0, 0.0, 0.0",1.8984878063201904
iris,sdp_3x3,10.0,0.01,1,7.676185665928521,"0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 1.0",9.788827180862427
wine,soc1,5.0,10.0,2,5.190722886462188,"0.505, 0.0, 0.0, 0.495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.02948594093322754
wine,soc2random,5.0,10.0,2,5.2592340470446715,"0.5086, 0.0, 0.0, 0.4914, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1.029083013534546
wine,sdp_3x3,5.0,10.0,2,5.652877246847535,"0.5092, 0.0, 0.0, 0.0, 0.4908, 0.0, 0.0, 0.0, 0.0, 0.0",16.505481004714966
breastcancer,soc1,5.0,0.01,2,0.14831385421686488,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.07428789138793945
breastcancer,soc2random,5.0,0.01,2,0.14831336192031266,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",7.387298822402954
breastcancer,sdp_3x3,5.0,0.01,2,1.061132819839548,"0.9963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0037",200.8566770553589
ionosphere,soc1,10.0,100.0,2,50.24619625490561,"0.5005, 0.0, 0.0, 0.4995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.06525206565856934
ionosphere,soc2random,10.0,100.0,2,50.2461963595015,"0.5005, 0.0, 0.0, 0.4995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",4.076467990875244
ionosphere,sdp_3x3,10.0,100.0,2,51.31435770166584,"0.2328, 0.0, 0.0, 0.0, 0.2662, 0.0, 0.0, 0.0, 0.0, 0.5011",88.7833321094513
spambase,soc1,5.0,0.01,5,0.19959529352690494,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.8110899925231934
spambase,soc2random,5.0,0.01,5,0.20089320635203733,"0.9943, 0.0042, 0.0001, 0.0, 0.0002, 0.0004, 0.0003, 0.0, 0.0001, 0.0004",276.75645089149475
banknote,soc1,5.0,0.01,1,0.5023564027816662,"0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.16698503494262695
banknote,soc2random,5.0,0.01,1,0.7443330863469396,"0.461, 0.0, 0.0, 0.0576, 0.4814, 0.0, 0.0, 0.0, 0.0, 0.0",27.773718118667603
banknote,sdp_3x3,5.0,0.01,1,6.07702005635132,"0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0",1361.0162749290466
heart,soc1,100.0,0.1,4,0.1896135945541066,"0.7259, 0.0785, 0.0878, 0.1077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.05258607864379883
heart,soc2random,100.0,0.1,4,0.33132316129740974,"0.984, 0.0, 0.0, 0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",2.97002911567688
heart,sdp_3x3,100.0,0.1,4,1.7497579523948783,"0.9999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001",55.66201114654541
haberman,soc1,5.0,0.01,1,0.5088452505490202,"0.0, 0.0, 0.0001, 0.9998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.04024815559387207
haberman,soc2random,5.0,0.01,1,1.559205106913301,"0.3691, 0.0, 0.0, 0.0837, 0.5473, 0.0, 0.0, 0.0, 0.0, 0.0",2.778002977371216
haberman,sdp_3x3,5.0,0.01,1,63.14946685014359,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0",69.28572416305542
mammographic,soc1,5.0,0.01,3,0.49798439573270364,"0.0, 0.2324, 0.3082, 0.4594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.1981348991394043
mammographic,soc2random,5.0,0.01,3,0.5832880080392701,"0.2086, 0.0, 0.0192, 0.7665, 0.0053, 0.0002, 0.0, 0.0, 0.0, 0.0001",17.6096830368042
mammographic,sdp_3x3,5.0,0.01,3,450.25951349429556,"0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999",635.4304161071777
parkinsons,soc1,100.0,0.1,4,0.18755674661761265,"0.7209, 0.0801, 0.0895, 0.1096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.04043102264404297
parkinsons,soc2random,100.0,0.1,4,0.23208749688565194,"0.725, 0.0, 0.0, 0.275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1.6620261669158936
parkinsons,sdp_3x3,100.0,0.1,4,1.5376219099443178,"0.2894, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7106",18.98742389678955
